action_lag_1,action_lag_2,action_lag_3,action_lag_5,bayes_a,bayes_b,bayes_best,bayes_gap,continue,cost_pressure,cumulative_progress,cumulative_score,disengagement_evidence,episode_id,estimated_continue_value,estimated_outside_value,failure_streak,log_round,mapping_id,normalized_time,oracle_continue_value,oracle_outside_value,oracle_p_a,oracle_p_b,oracle_relative_value,oracle_termination_advantage,outcome_after_choice,outcome_lag_1,outcome_lag_2,outcome_lag_3,outcome_lag_5,p_continue,p_disengage,pair_id,persistence_logit,previous_choice,previous_outcome,progress_evidence,relative_value,round,rw_a,rw_b,rw_best,rw_gap,second_previous_choice,semantic_choice,split,state_id,success_streak,task,task_bandit,task_foraging,task_solvability,termination_advantage
1.0,1.0,1.0,1.0,1.75,-0.5,1.75,2.25,1,0.0,0.0,0.0,-1.75,seed-12026-pa-0.65-pb-0.20,1.75,0.0,4.0,2.3978952727983707,bandit_abc,0.9090909090909091,1.25,0.0,0.65,0.2,1.25,1.25,-2.0,-2.0,-2.0,-2.0,3.0,0.5665220462076721,0.43347795379232784,seed-12026-pa-0.65-pb-0.20,0.26767505760560084,1.0,-2.0,-2.0,1.75,10,2.375,-1.794921875,2.375,4.169921875,1.0,B,test,seed-12026-pa-0.65-pb-0.20:10,0.0,bandit,1.0,0.0,0.0,1.75
1.0,1.0,1.0,1.0,1.75,-0.6363636363636365,1.75,2.3863636363636367,0,0.0,-2.0,-2.0,-1.75,seed-12026-pa-0.65-pb-0.20,1.75,0.0,5.0,2.4849066497880004,bandit_abc,0.9166666666666666,1.25,0.0,0.65,0.2,1.25,1.25,0.0,-2.0,-2.0,-2.0,-2.0,0.593131963406575,0.40686803659342485,seed-12026-pa-0.65-pb-0.20,0.376928011042974,1.0,-2.0,-2.0,1.75,11,2.375,-1.8974609375,2.375,4.2724609375,1.0,C,test,seed-12026-pa-0.65-pb-0.20:11,0.0,bandit,1.0,0.0,0.0,1.75
0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1,0.0,0.0,0.0,-0.5,seed-12027-pa-0.35-pb-0.50,0.5,0.0,0.0,0.0,bandit_abc,0.0,0.5,0.0,0.35,0.5,0.5,0.5,-2.0,0.0,0.0,0.0,0.0,0.9852824796136144,0.014717520386385642,seed-12027-pa-0.35-pb-0.50,4.203889734292549,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.0,0.0,A,train,seed-12027-pa-0.35-pb-0.50:0,0.0,bandit,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,-0.33333333333333326,0.5,0.5,0.8333333333333333,1,0.0,-2.0,-2.0,-0.5,seed-12027-pa-0.35-pb-0.50,0.5,0.0,1.0,0.6931471805599453,bandit_abc,0.5,0.5,0.0,0.35,0.5,0.5,0.5,3.0,-2.0,0.0,0.0,0.0,0.97914481560494,0.02085518439505994,seed-12027-pa-0.35-pb-0.50,3.8490769841801082,1.0,-2.0,-2.0,0.5,1,-0.75,0.5,0.5,1.25,0.0,B,train,seed-12027-pa-0.35-pb-0.50:1,0.0,bandit,1.0,0.0,0.0,0.5
1.0,1.0,0.0,0.0,-0.33333333333333326,1.3333333333333335,1.3333333333333335,1.6666666666666667,1,0.0,1.0,1.0,-1.3333333333333335,seed-12027-pa-0.35-pb-0.50,1.3333333333333335,0.0,0.0,1.0986122886681098,bandit_abc,0.6666666666666666,0.5,0.0,0.35,0.5,0.5,0.5,-2.0,3.0,-2.0,0.0,0.0,0.9378441862753071,0.06215581372469303,seed-12027-pa-0.35-pb-0.50,2.7139394654749402,1.0,3.0,3.0,1.3333333333333335,2,-0.75,1.75,1.75,2.5,1.0,A,train,seed-12027-pa-0.35-pb-0.50:2,1.0,bandit,1.0,0.0,0.0,1.3333333333333335
1.0,1.0,1.0,0.0,-0.75,1.3333333333333335,1.3333333333333335,2.0833333333333335,1,0.0,-1.0,-1.0,-1.3333333333333335,seed-12027-pa-0.35-pb-0.50,1.3333333333333335,0.0,1.0,1.3862943611198906,bandit_abc,0.75,0.5,0.0,0.35,0.5,0.5,0.5,3.0,-2.0,3.0,-2.0,0.0,0.8613338915079942,0.13866610849200586,seed-12027-pa-0.35-pb-0.50,1.826413277982752,1.0,-2.0,-2.0,1.3333333333333335,3,-1.375,1.75,1.75,3.125,1.0,A,train,seed-12027-pa-0.35-pb-0.50:3,0.0,bandit,1.0,0.0,0.0,1.3333333333333335
1.0,1.0,1.0,0.0,0.0,1.3333333333333335,1.3333333333333335,1.3333333333333335,1,0.0,2.0,2.0,-1.3333333333333335,seed-12027-pa-0.35-pb-0.50,1.3333333333333335,0.0,0.0,1.6094379124341003,bandit_abc,0.8,0.5,0.0,0.35,0.5,0.5,0.5,-2.0,3.0,-2.0,3.0,0.0,0.9110026668428761,0.08899733315712388,seed-12027-pa-0.35-pb-0.50,2.325939419878843,1.0,3.0,3.0,1.3333333333333335,4,0.8125,1.75,1.75,0.9375,1.0,B,train,seed-12027-pa-0.35-pb-0.50:4,1.0,bandit,1.0,0.0,0.0,1.3333333333333335
1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1,0.0,0.0,0.0,-0.5,seed-12027-pa-0.35-pb-0.50,0.5,0.0,1.0,1.791759469228055,bandit_abc,0.8333333333333334,0.5,0.0,0.35,0.5,0.5,0.5,-2.0,-2.0,3.0,-2.0,-2.0,0.8286286718362086,0.17137132816379141,seed-12027-pa-0.35-pb-0.50,1.5759394198788428,1.0,-2.0,-2.0,0.5,5,0.8125,-0.125,0.8125,0.9375,1.0,A,train,seed-12027-pa-0.35-pb-0.50:5,0.0,bandit,1.0,0.0,0.0,0.5
1.0,1.0,1.0,1.0,-0.33333333333333326,0.5,0.5,0.8333333333333333,0,0.0,-2.0,-2.0,-0.5,seed-12027-pa-0.35-pb-0.50,0.5,0.0,2.0,1.9459101490553132,bandit_abc,0.8571428571428571,0.5,0.0,0.35,0.5,0.5,0.5,0.0,-2.0,-2.0,3.0,3.0,0.7962180090991949,0.20378199090080504,seed-12027-pa-0.35-pb-0.50,1.3628222787715707,1.0,-2.0,-2.0,0.5,6,-0.59375,-0.125,-0.125,0.46875,1.0,C,train,seed-12027-pa-0.35-pb-0.50:6,0.0,bandit,1.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1,0.0,0.0,0.0,-0.5,seed-12028-pa-0.35-pb-0.20,0.5,0.0,0.0,0.0,bandit_abc,0.0,-0.25,0.0,0.35,0.2,-0.25,-0.25,-2.0,0.0,0.0,0.0,0.0,0.9852824796136144,0.014717520386385642,seed-12028-pa-0.35-pb-0.20,4.203889734292549,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.0,0.0,A,train,seed-12028-pa-0.35-pb-0.20:0,0.0,bandit,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,-0.33333333333333326,0.5,0.5,0.8333333333333333,1,0.0,-2.0,-2.0,-0.5,seed-12028-pa-0.35-pb-0.20,0.5,0.0,1.0,0.6931471805599453,bandit_abc,0.5,-0.25,0.0,0.35,0.2,-0.25,-0.25,-2.0,-2.0,0.0,0.0,0.0,0.97914481560494,0.02085518439505994,seed-12028-pa-0.35-pb-0.20,3.8490769841801082,1.0,-2.0,-2.0,0.5,1,-0.75,0.5,0.5,1.25,0.0,B,train,seed-12028-pa-0.35-pb-0.20:1,0.0,bandit,1.0,0.0,0.0,0.5
1.0,1.0,0.0,0.0,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,0.0,0,0.0,-4.0,-4.0,0.33333333333333326,seed-12028-pa-0.35-pb-0.20,-0.33333333333333326,0.0,2.0,1.0986122886681098,bandit_abc,0.6666666666666666,-0.25,0.0,0.35,0.2,-0.25,-0.25,0.0,-2.0,-2.0,0.0,0.0,0.5250820918391705,0.4749179081608295,seed-12028-pa-0.35-pb-0.20,0.1004126516016477,1.0,-2.0,-2.0,-0.33333333333333326,2,-0.75,-0.75,-0.75,0.0,1.0,C,train,seed-12028-pa-0.35-pb-0.20:2,0.0,bandit,1.0,0.0,0.0,-0.33333333333333326
0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1,0.0,0.0,0.0,-0.5,seed-12029-pa-0.20-pb-0.20,0.5,0.0,0.0,0.0,bandit_abc,0.0,-1.0,0.0,0.2,0.2,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.9852824796136144,0.014717520386385642,seed-12029-pa-0.20-pb-0.20,4.203889734292549,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.0,0.0,A,train,seed-12029-pa-0.20-pb-0.20:0,0.0,bandit,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,-0.33333333333333326,0.5,0.5,0.8333333333333333,1,0.0,-2.0,-2.0,-0.5,seed-12029-pa-0.20-pb-0.20,0.5,0.0,1.0,0.6931471805599453,bandit_abc,0.5,-1.0,0.0,0.2,0.2,-1.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,0.97914481560494,0.02085518439505994,seed-12029-pa-0.20-pb-0.20,3.8490769841801082,1.0,-2.0,-2.0,0.5,1,-0.75,0.5,0.5,1.25,0.0,B,train,seed-12029-pa-0.20-pb-0.20:1,0.0,bandit,1.0,0.0,0.0,0.5
1.0,1.0,0.0,0.0,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,0.0,0,0.0,-4.0,-4.0,0.33333333333333326,seed-12029-pa-0.20-pb-0.20,-0.33333333333333326,0.0,2.0,1.0986122886681098,bandit_abc,0.6666666666666666,-1.0,0.0,0.2,0.2,-1.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,0.5250820918391705,0.4749179081608295,seed-12029-pa-0.20-pb-0.20,0.1004126516016477,1.0,-2.0,-2.0,-0.33333333333333326,2,-0.75,-0.75,-0.75,0.0,1.0,C,train,seed-12029-pa-0.20-pb-0.20:2,0.0,bandit,1.0,0.0,0.0,-0.33333333333333326
0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1,0.0,0.0,0.0,-0.5,seed-12030-pa-0.65-pb-0.50,0.5,0.0,0.0,0.0,bandit_abc,0.0,1.25,0.0,0.65,0.5,1.25,1.25,3.0,0.0,0.0,0.0,0.0,0.9852824796136144,0.014717520386385642,seed-12030-pa-0.65-pb-0.50,4.203889734292549,0.0,0.0,0.0,0.5,0,0.5,0.5,0.5,0.0,0.0,A,validation,seed-12030-pa-0.65-pb-0.50:0,0.0,bandit,1.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,1.3333333333333335,0.5,1.3333333333333335,0.8333333333333335,1,0.0,3.0,3.0,-1.3333333333333335,seed-12030-pa-0.65-pb-0.50,1.3333333333333335,0.0,0.0,0.6931471805599453,bandit_abc,0.5,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,0.0,0.0,0.0,0.9882106660345499,0.011789333965450058,seed-12030-pa-0.65-pb-0.50,4.42870067827652,1.0,3.0,3.0,1.3333333333333335,1,1.75,0.5,1.75,1.25,0.0,A,validation,seed-12030-pa-0.65-pb-0.50:1,1.0,bandit,1.0,0.0,0.0,1.3333333333333335
1.0,1.0,0.0,0.0,1.75,0.5,1.75,1.25,1,0.0,6.0,6.0,-1.75,seed-12030-pa-0.65-pb-0.50,1.75,0.0,0.0,1.0986122886681098,bandit_abc,0.6666666666666666,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,3.0,0.0,0.0,0.9608874267293126,0.039112573270687456,seed-12030-pa-0.65-pb-0.50,3.201413277982752,1.0,3.0,3.0,1.75,2,2.375,0.5,2.375,1.875,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:2,2.0,bandit,1.0,0.0,0.0,1.75
1.0,1.0,1.0,0.0,2.0,0.5,2.0,1.5,1,0.0,9.0,9.0,-2.0,seed-12030-pa-0.65-pb-0.50,2.0,0.0,0.0,1.3862943611198906,bandit_abc,0.75,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,3.0,3.0,0.0,0.9703392830728799,0.029660716927120107,seed-12030-pa-0.65-pb-0.50,3.4878222787715707,1.0,3.0,3.0,2.0,3,2.6875,0.5,2.6875,2.1875,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:3,3.0,bandit,1.0,0.0,0.0,2.0
1.0,1.0,1.0,0.0,2.166666666666667,0.5,2.166666666666667,1.666666666666667,1,0.0,12.0,12.0,-2.166666666666667,seed-12030-pa-0.65-pb-0.50,2.166666666666667,0.0,0.0,1.6094379124341003,bandit_abc,0.8,1.25,0.0,0.65,0.5,1.25,1.25,-2.0,3.0,3.0,3.0,0.0,0.896620327412172,0.10337967258782796,seed-12030-pa-0.65-pb-0.50,2.1602241504380864,1.0,3.0,3.0,2.166666666666667,4,2.84375,0.5,2.84375,2.34375,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:4,4.0,bandit,1.0,0.0,0.0,2.166666666666667
1.0,1.0,1.0,1.0,1.5714285714285716,0.5,1.5714285714285716,1.0714285714285716,1,0.0,10.0,10.0,-1.5714285714285716,seed-12030-pa-0.65-pb-0.50,1.5714285714285716,0.0,1.0,1.791759469228055,bandit_abc,0.8333333333333334,1.25,0.0,0.65,0.5,1.25,1.25,3.0,-2.0,3.0,3.0,3.0,0.9579899338659339,0.04201006613406605,seed-12030-pa-0.65-pb-0.50,3.126928011042974,1.0,-2.0,-2.0,1.5714285714285716,5,0.421875,0.5,0.5,0.078125,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:5,0.0,bandit,1.0,0.0,0.0,1.5714285714285716
1.0,1.0,1.0,1.0,1.75,0.5,1.75,1.25,1,0.0,13.0,13.0,-1.75,seed-12030-pa-0.65-pb-0.50,1.75,0.0,0.0,1.9459101490553132,bandit_abc,0.8571428571428571,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,-2.0,3.0,3.0,0.9826735268098951,0.017326473190104993,seed-12030-pa-0.65-pb-0.50,4.0380413716877825,1.0,3.0,3.0,1.75,6,1.7109375,0.5,1.7109375,1.2109375,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:6,1.0,bandit,1.0,0.0,0.0,1.75
1.0,1.0,1.0,1.0,1.8888888888888888,0.5,1.8888888888888888,1.3888888888888888,1,0.0,16.0,16.0,-1.8888888888888888,seed-12030-pa-0.65-pb-0.50,1.8888888888888888,0.0,0.0,2.0794415416798357,bandit_abc,0.875,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,3.0,-2.0,3.0,0.9805067079731795,0.019493292026820312,seed-12030-pa-0.65-pb-0.50,3.9179990792290873,1.0,3.0,3.0,1.8888888888888888,7,2.35546875,0.5,2.35546875,1.85546875,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:7,2.0,bandit,1.0,0.0,0.0,1.8888888888888888
1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.5,1,0.0,19.0,19.0,-2.0,seed-12030-pa-0.65-pb-0.50,2.0,0.0,0.0,2.1972245773362196,bandit_abc,0.8888888888888888,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,3.0,3.0,3.0,0.9778613160211111,0.022138683978888848,seed-12030-pa-0.65-pb-0.50,3.7880413716877825,1.0,3.0,3.0,2.0,8,2.677734375,0.5,2.677734375,2.177734375,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:8,3.0,bandit,1.0,0.0,0.0,2.0
1.0,1.0,1.0,1.0,2.090909090909091,0.5,2.090909090909091,1.5909090909090908,1,0.0,22.0,22.0,-2.090909090909091,seed-12030-pa-0.65-pb-0.50,2.090909090909091,0.0,0.0,2.302585092994046,bandit_abc,0.9,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,3.0,3.0,-2.0,0.9779683893769818,0.02203161062301811,seed-12030-pa-0.65-pb-0.50,3.7929990792290873,1.0,3.0,3.0,2.090909090909091,9,2.8388671875,0.5,2.8388671875,2.3388671875,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:9,4.0,bandit,1.0,0.0,0.0,2.090909090909091
1.0,1.0,1.0,1.0,2.166666666666667,0.5,2.166666666666667,1.666666666666667,1,0.0,25.0,25.0,-2.166666666666667,seed-12030-pa-0.65-pb-0.50,2.166666666666667,0.0,0.0,2.3978952727983707,bandit_abc,0.9090909090909091,1.25,0.0,0.65,0.5,1.25,1.25,-2.0,3.0,3.0,3.0,3.0,0.9752432162859176,0.024756783714082364,seed-12030-pa-0.65-pb-0.50,3.6735873515737403,1.0,3.0,3.0,2.166666666666667,10,2.91943359375,0.5,2.91943359375,2.41943359375,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:10,5.0,bandit,1.0,0.0,0.0,2.166666666666667
1.0,1.0,1.0,1.0,1.8461538461538463,0.5,1.8461538461538463,1.3461538461538463,1,0.0,23.0,23.0,-1.8461538461538463,seed-12030-pa-0.65-pb-0.50,1.8461538461538463,0.0,1.0,2.4849066497880004,bandit_abc,0.9166666666666666,1.25,0.0,0.65,0.5,1.25,1.25,3.0,-2.0,3.0,3.0,3.0,0.9504470064943839,0.049552993505616164,seed-12030-pa-0.65-pb-0.50,2.9538897342925488,1.0,-2.0,-2.0,1.8461538461538463,11,0.459716796875,0.5,0.5,0.040283203125,1.0,B,validation,seed-12030-pa-0.65-pb-0.50:11,0.0,bandit,1.0,0.0,0.0,1.8461538461538463
1.0,1.0,1.0,1.0,1.8461538461538463,1.3333333333333335,1.8461538461538463,0.5128205128205128,1,0.0,26.0,26.0,-1.8461538461538463,seed-12030-pa-0.65-pb-0.50,1.8461538461538463,0.0,0.0,2.5649493574615367,bandit_abc,0.9230769230769231,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,-2.0,3.0,3.0,0.994016941027557,0.005983058972443041,seed-12030-pa-0.65-pb-0.50,5.112822278771571,1.0,3.0,3.0,1.8461538461538463,12,0.459716796875,1.75,1.75,1.290283203125,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:12,1.0,bandit,1.0,0.0,0.0,1.8461538461538463
1.0,1.0,1.0,1.0,1.9285714285714284,1.3333333333333335,1.9285714285714284,0.5952380952380949,1,0.0,29.0,29.0,-1.9285714285714284,seed-12030-pa-0.65-pb-0.50,1.9285714285714284,0.0,0.0,2.6390573296152584,bandit_abc,0.9285714285714286,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,3.0,-2.0,3.0,0.9909413585460689,0.009058641453931123,seed-12030-pa-0.65-pb-0.50,4.6949361996449746,1.0,3.0,3.0,1.9285714285714284,13,1.7298583984375,1.75,1.75,0.0201416015625,1.0,B,validation,seed-12030-pa-0.65-pb-0.50:13,2.0,bandit,1.0,0.0,0.0,1.9285714285714284
1.0,1.0,1.0,1.0,1.9285714285714284,1.75,1.9285714285714284,0.17857142857142838,1,0.0,32.0,32.0,-1.9285714285714284,seed-12030-pa-0.65-pb-0.50,1.9285714285714284,0.0,0.0,2.70805020110221,bandit_abc,0.9333333333333333,1.25,0.0,0.65,0.5,1.25,1.25,3.0,3.0,3.0,3.0,3.0,0.9866756034657502,0.013324396534249855,seed-12030-pa-0.65-pb-0.50,4.30474463538566,1.0,3.0,3.0,1.9285714285714284,14,1.7298583984375,2.375,2.375,0.6451416015625,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:14,3.0,bandit,1.0,0.0,0.0,1.9285714285714284
1.0,1.0,1.0,1.0,2.0,1.75,2.0,0.25,1,0.0,35.0,35.0,-2.0,seed-12030-pa-0.65-pb-0.50,2.0,0.0,0.0,2.772588722239781,bandit_abc,0.9375,1.25,0.0,0.65,0.5,1.25,1.25,-2.0,3.0,3.0,3.0,-2.0,0.9852465255406724,0.014753474459327466,seed-12030-pa-0.65-pb-0.50,4.201413277982752,1.0,3.0,3.0,2.0,15,2.36492919921875,2.375,2.375,0.01007080078125,1.0,A,validation,seed-12030-pa-0.65-pb-0.50:15,4.0,bandit,1.0,0.0,0.0,2.0
1.0,1.0,1.0,1.0,1.75,1.75,1.75,0.0,1,0.0,33.0,33.0,-1.75,seed-12030-pa-0.65-pb-0.50,1.75,0.0,1.0,2.833213344056216,bandit_abc,0.9411764705882353,1.25,0.0,0.65,0.5,1.25,1.25,-2.0,-2.0,3.0,3.0,3.0,0.9600248315709563,0.03997516842904372,seed-12030-pa-0.65-pb-0.50,3.1787006782765204,1.0,-2.0,-2.0,1.75,16,0.182464599609375,2.375,2.375,2.192535400390625,1.0,B,validation,seed-12030-pa-0.65-pb-0.50:16,0.0,bandit,1.0,0.0,0.0,1.75
1.0,1.0,1.0,1.0,1.75,1.0,1.75,0.75,1,0.0,31.0,31.0,-1.75,seed-12030-pa-0.65-pb-0.50,1.75,0.0,2.0,2.8903717578961645,bandit_abc,0.9444444444444444,1.25,0.0,0.65,0.5,1.25,1.25,-2.0,-2.0,-2.0,3.0,3.0,0.9477535851563854,0.0522464148436145,seed-12030-pa-0.65-pb-0.50,2.8981232641398407,1.0,-2.0,-2.0,1.75,17,0.182464599609375,0.1875,0.1875,0.005035400390625,1.0,B,validation,seed-12030-pa-0.65-pb-0.50:17,0.0,bandit,1.0,0.0,0.0,1.75
