repetition,generating_model,selected_model,recovered_parameter
32,H1_latent_commitment,latent_commitment,0.9
32,H2_shared_rule,shared_rule,fully_shared
32,H3_task_specific_evaluation,task_specific,task_specific
32,H4_generic_sequential_choice,finite_history,3
33,H1_latent_commitment,latent_commitment,0.9
33,H2_shared_rule,shared_rule,fully_shared
33,H3_task_specific_evaluation,task_specific,task_specific
33,H4_generic_sequential_choice,finite_history,8
34,H1_latent_commitment,latent_commitment,0.9
34,H2_shared_rule,shared_rule,fully_shared
34,H3_task_specific_evaluation,task_specific,task_specific
34,H4_generic_sequential_choice,finite_history,3
35,H1_latent_commitment,latent_commitment,0.9
35,H2_shared_rule,shared_rule,fully_shared
35,H3_task_specific_evaluation,task_specific,task_specific
35,H4_generic_sequential_choice,finite_history,5
36,H1_latent_commitment,latent_commitment,0.9
36,H2_shared_rule,shared_rule,fully_shared
36,H3_task_specific_evaluation,task_specific,task_specific
36,H4_generic_sequential_choice,finite_history,3
37,H1_latent_commitment,latent_commitment,0.9
37,H2_shared_rule,shared_rule,fully_shared
37,H3_task_specific_evaluation,task_specific,task_specific
37,H4_generic_sequential_choice,finite_history,3
38,H1_latent_commitment,latent_commitment,0.9
38,H2_shared_rule,shared_rule,fully_shared
38,H3_task_specific_evaluation,task_specific,task_specific
38,H4_generic_sequential_choice,finite_history,3
39,H1_latent_commitment,latent_commitment,0.9
39,H2_shared_rule,shared_rule,fully_shared
39,H3_task_specific_evaluation,task_specific,task_specific
39,H4_generic_sequential_choice,finite_history,3
40,H1_latent_commitment,latent_commitment,0.9
40,H2_shared_rule,shared_rule,fully_shared
40,H3_task_specific_evaluation,task_specific,task_specific
40,H4_generic_sequential_choice,finite_history,3
41,H1_latent_commitment,latent_commitment,0.9
41,H2_shared_rule,shared_rule,fully_shared
41,H3_task_specific_evaluation,task_specific,task_specific
41,H4_generic_sequential_choice,finite_history,3
42,H1_latent_commitment,latent_commitment,0.9
42,H2_shared_rule,shared_rule,fully_shared
42,H3_task_specific_evaluation,task_specific,task_specific
42,H4_generic_sequential_choice,finite_history,3
43,H1_latent_commitment,latent_commitment,0.9
43,H2_shared_rule,shared_rule,fully_shared
43,H3_task_specific_evaluation,task_specific,task_specific
43,H4_generic_sequential_choice,finite_history,3
44,H1_latent_commitment,latent_commitment,0.9
44,H2_shared_rule,shared_rule,fully_shared
44,H3_task_specific_evaluation,task_specific,task_specific
44,H4_generic_sequential_choice,finite_history,3
45,H1_latent_commitment,latent_commitment,0.9
45,H2_shared_rule,shared_rule,fully_shared
45,H3_task_specific_evaluation,task_specific,task_specific
45,H4_generic_sequential_choice,finite_history,3
46,H1_latent_commitment,latent_commitment,0.9
46,H2_shared_rule,shared_rule,fully_shared
46,H3_task_specific_evaluation,task_specific,task_specific
46,H4_generic_sequential_choice,finite_history,5
47,H1_latent_commitment,latent_commitment,0.9
47,H2_shared_rule,shared_rule,fully_shared
47,H3_task_specific_evaluation,task_specific,task_specific
47,H4_generic_sequential_choice,finite_history,3
48,H1_latent_commitment,latent_commitment,0.5
48,H2_shared_rule,shared_rule,fully_shared
48,H3_task_specific_evaluation,task_specific,task_specific
48,H4_generic_sequential_choice,finite_history,3
49,H1_latent_commitment,latent_commitment,0.9
49,H2_shared_rule,shared_rule,fully_shared
49,H3_task_specific_evaluation,task_specific,task_specific
49,H4_generic_sequential_choice,finite_history,3
50,H1_latent_commitment,latent_commitment,0.9
50,H2_shared_rule,shared_rule,fully_shared
50,H3_task_specific_evaluation,task_specific,task_specific
50,H4_generic_sequential_choice,finite_history,3
51,H1_latent_commitment,latent_commitment,0.9
51,H2_shared_rule,shared_rule,fully_shared
51,H3_task_specific_evaluation,task_specific,task_specific
51,H4_generic_sequential_choice,finite_history,3
52,H1_latent_commitment,latent_commitment,0.9
52,H2_shared_rule,shared_rule,fully_shared
52,H3_task_specific_evaluation,task_specific,task_specific
52,H4_generic_sequential_choice,finite_history,3
53,H1_latent_commitment,latent_commitment,0.9
53,H2_shared_rule,shared_rule,fully_shared
53,H3_task_specific_evaluation,task_specific,task_specific
53,H4_generic_sequential_choice,finite_history,3
54,H1_latent_commitment,latent_commitment,0.9
54,H2_shared_rule,shared_rule,fully_shared
54,H3_task_specific_evaluation,task_specific,task_specific
54,H4_generic_sequential_choice,finite_history,3
55,H1_latent_commitment,latent_commitment,0.9
55,H2_shared_rule,shared_rule,fully_shared
55,H3_task_specific_evaluation,task_specific,task_specific
55,H4_generic_sequential_choice,finite_history,3
56,H1_latent_commitment,latent_commitment,0.9
56,H2_shared_rule,shared_rule,fully_shared
56,H3_task_specific_evaluation,task_specific,task_specific
56,H4_generic_sequential_choice,finite_history,3
57,H1_latent_commitment,latent_commitment,0.9
57,H2_shared_rule,shared_rule,fully_shared
57,H3_task_specific_evaluation,task_specific,task_specific
57,H4_generic_sequential_choice,finite_history,3
58,H1_latent_commitment,latent_commitment,0.9
58,H2_shared_rule,task_specific,task_specific
58,H3_task_specific_evaluation,task_specific,task_specific
58,H4_generic_sequential_choice,finite_history,3
59,H1_latent_commitment,latent_commitment,0.9
59,H2_shared_rule,shared_rule,fully_shared
59,H3_task_specific_evaluation,task_specific,task_specific
59,H4_generic_sequential_choice,finite_history,3
60,H1_latent_commitment,latent_commitment,0.9
60,H2_shared_rule,shared_rule,fully_shared
60,H3_task_specific_evaluation,task_specific,task_specific
60,H4_generic_sequential_choice,finite_history,3
61,H1_latent_commitment,latent_commitment,0.9
61,H2_shared_rule,shared_rule,fully_shared
61,H3_task_specific_evaluation,task_specific,task_specific
61,H4_generic_sequential_choice,finite_history,3
62,H1_latent_commitment,latent_commitment,0.9
62,H2_shared_rule,shared_rule,fully_shared
62,H3_task_specific_evaluation,task_specific,task_specific
62,H4_generic_sequential_choice,finite_history,3
63,H1_latent_commitment,latent_commitment,0.9
63,H2_shared_rule,shared_rule,fully_shared
63,H3_task_specific_evaluation,task_specific,task_specific
63,H4_generic_sequential_choice,finite_history,3
64,H1_latent_commitment,latent_commitment,0.9
64,H2_shared_rule,shared_rule,fully_shared
64,H3_task_specific_evaluation,task_specific,task_specific
64,H4_generic_sequential_choice,finite_history,3
65,H1_latent_commitment,latent_commitment,0.9
65,H2_shared_rule,shared_rule,fully_shared
65,H3_task_specific_evaluation,task_specific,task_specific
65,H4_generic_sequential_choice,finite_history,3
66,H1_latent_commitment,latent_commitment,0.9
66,H2_shared_rule,shared_rule,fully_shared
66,H3_task_specific_evaluation,task_specific,task_specific
66,H4_generic_sequential_choice,finite_history,3
67,H1_latent_commitment,latent_commitment,0.9
67,H2_shared_rule,shared_rule,fully_shared
67,H3_task_specific_evaluation,task_specific,task_specific
67,H4_generic_sequential_choice,finite_history,3
68,H1_latent_commitment,latent_commitment,0.9
68,H2_shared_rule,shared_rule,fully_shared
68,H3_task_specific_evaluation,task_specific,task_specific
68,H4_generic_sequential_choice,finite_history,3
69,H1_latent_commitment,latent_commitment,0.9
69,H2_shared_rule,shared_rule,fully_shared
69,H3_task_specific_evaluation,task_specific,task_specific
69,H4_generic_sequential_choice,finite_history,3
70,H1_latent_commitment,latent_commitment,0.9
70,H2_shared_rule,shared_rule,fully_shared
70,H3_task_specific_evaluation,task_specific,task_specific
70,H4_generic_sequential_choice,finite_history,3
71,H1_latent_commitment,latent_commitment,0.9
71,H2_shared_rule,shared_rule,fully_shared
71,H3_task_specific_evaluation,task_specific,task_specific
71,H4_generic_sequential_choice,finite_history,3
72,H1_latent_commitment,latent_commitment,0.9
72,H2_shared_rule,shared_rule,fully_shared
72,H3_task_specific_evaluation,task_specific,task_specific
72,H4_generic_sequential_choice,finite_history,3
73,H1_latent_commitment,latent_commitment,0.9
73,H2_shared_rule,shared_rule,fully_shared
73,H3_task_specific_evaluation,task_specific,task_specific
73,H4_generic_sequential_choice,finite_history,3
74,H1_latent_commitment,latent_commitment,0.9
74,H2_shared_rule,shared_rule,fully_shared
74,H3_task_specific_evaluation,task_specific,task_specific
74,H4_generic_sequential_choice,finite_history,3
75,H1_latent_commitment,latent_commitment,0.5
75,H2_shared_rule,shared_rule,fully_shared
75,H3_task_specific_evaluation,task_specific,task_specific
75,H4_generic_sequential_choice,finite_history,3
76,H1_latent_commitment,latent_commitment,0.9
76,H2_shared_rule,shared_rule,fully_shared
76,H3_task_specific_evaluation,task_specific,task_specific
76,H4_generic_sequential_choice,finite_history,3
77,H1_latent_commitment,latent_commitment,0.9
77,H2_shared_rule,shared_rule,fully_shared
77,H3_task_specific_evaluation,task_specific,task_specific
77,H4_generic_sequential_choice,finite_history,3
78,H1_latent_commitment,latent_commitment,0.9
78,H2_shared_rule,shared_rule,fully_shared
78,H3_task_specific_evaluation,task_specific,task_specific
78,H4_generic_sequential_choice,finite_history,3
79,H1_latent_commitment,latent_commitment,0.9
79,H2_shared_rule,shared_rule,fully_shared
79,H3_task_specific_evaluation,task_specific,task_specific
79,H4_generic_sequential_choice,finite_history,3
80,H1_latent_commitment,latent_commitment,0.9
80,H2_shared_rule,shared_rule,fully_shared
80,H3_task_specific_evaluation,task_specific,task_specific
80,H4_generic_sequential_choice,finite_history,3
81,H1_latent_commitment,latent_commitment,0.9
81,H2_shared_rule,shared_rule,fully_shared
81,H3_task_specific_evaluation,task_specific,task_specific
81,H4_generic_sequential_choice,finite_history,5
82,H1_latent_commitment,latent_commitment,0.9
82,H2_shared_rule,shared_rule,fully_shared
82,H3_task_specific_evaluation,task_specific,task_specific
82,H4_generic_sequential_choice,finite_history,3
83,H1_latent_commitment,latent_commitment,0.9
83,H2_shared_rule,shared_rule,fully_shared
83,H3_task_specific_evaluation,task_specific,task_specific
83,H4_generic_sequential_choice,finite_history,3
84,H1_latent_commitment,latent_commitment,0.9
84,H2_shared_rule,shared_rule,fully_shared
84,H3_task_specific_evaluation,task_specific,task_specific
84,H4_generic_sequential_choice,finite_history,8
85,H1_latent_commitment,latent_commitment,0.9
85,H2_shared_rule,shared_rule,fully_shared
85,H3_task_specific_evaluation,task_specific,task_specific
85,H4_generic_sequential_choice,finite_history,3
86,H1_latent_commitment,latent_commitment,0.9
86,H2_shared_rule,shared_rule,fully_shared
86,H3_task_specific_evaluation,task_specific,task_specific
86,H4_generic_sequential_choice,finite_history,3
87,H1_latent_commitment,latent_commitment,0.9
87,H2_shared_rule,shared_rule,fully_shared
87,H3_task_specific_evaluation,task_specific,task_specific
87,H4_generic_sequential_choice,finite_history,3
88,H1_latent_commitment,latent_commitment,0.9
88,H2_shared_rule,shared_rule,fully_shared
88,H3_task_specific_evaluation,task_specific,task_specific
88,H4_generic_sequential_choice,finite_history,3
89,H1_latent_commitment,latent_commitment,0.9
89,H2_shared_rule,shared_rule,fully_shared
89,H3_task_specific_evaluation,task_specific,task_specific
89,H4_generic_sequential_choice,finite_history,3
90,H1_latent_commitment,latent_commitment,0.9
90,H2_shared_rule,shared_rule,fully_shared
90,H3_task_specific_evaluation,task_specific,task_specific
90,H4_generic_sequential_choice,finite_history,3
91,H1_latent_commitment,latent_commitment,0.9
91,H2_shared_rule,shared_rule,fully_shared
91,H3_task_specific_evaluation,task_specific,task_specific
91,H4_generic_sequential_choice,finite_history,5
92,H1_latent_commitment,latent_commitment,0.9
92,H2_shared_rule,shared_rule,fully_shared
92,H3_task_specific_evaluation,task_specific,task_specific
92,H4_generic_sequential_choice,finite_history,5
93,H1_latent_commitment,latent_commitment,0.9
93,H2_shared_rule,shared_rule,fully_shared
93,H3_task_specific_evaluation,task_specific,task_specific
93,H4_generic_sequential_choice,finite_history,3
94,H1_latent_commitment,latent_commitment,0.9
94,H2_shared_rule,shared_rule,fully_shared
94,H3_task_specific_evaluation,task_specific,task_specific
94,H4_generic_sequential_choice,finite_history,3
95,H1_latent_commitment,latent_commitment,0.9
95,H2_shared_rule,shared_rule,fully_shared
95,H3_task_specific_evaluation,task_specific,task_specific
95,H4_generic_sequential_choice,finite_history,3
96,H1_latent_commitment,latent_commitment,0.9
96,H2_shared_rule,shared_rule,fully_shared
96,H3_task_specific_evaluation,task_specific,task_specific
96,H4_generic_sequential_choice,finite_history,3
97,H1_latent_commitment,latent_commitment,0.9
97,H2_shared_rule,shared_rule,fully_shared
97,H3_task_specific_evaluation,task_specific,task_specific
97,H4_generic_sequential_choice,finite_history,3
98,H1_latent_commitment,latent_commitment,0.9
98,H2_shared_rule,shared_rule,fully_shared
98,H3_task_specific_evaluation,task_specific,task_specific
98,H4_generic_sequential_choice,finite_history,3
99,H1_latent_commitment,latent_commitment,0.9
99,H2_shared_rule,shared_rule,fully_shared
99,H3_task_specific_evaluation,task_specific,task_specific
99,H4_generic_sequential_choice,finite_history,3
