task,pair_id,condition_id,split,seed,timing_environment,reward_magnitude,opportunity_cost,quit_payoff,ratio_schedule,effort_cost,outside_option,prior_investment,remaining_steps,step_cost,success_probability,exposure_type,exposure_trials,transfer_success_probability,transfer_cost,max_transfer_attempts,base_success_probability,clue_increment,attempt_cost,solution_reward,restart_value,max_attempts
voluntary_waiting,voluntary_waiting-pair-0221039,voluntary_waiting-bcc97dab0d13,train,221039,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221040,voluntary_waiting-97767c25269b,train,221040,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221041,voluntary_waiting-c82836b64033,train,221041,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221042,voluntary_waiting-bf53667ffa21,train,221042,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221043,voluntary_waiting-dd4edbaeffd1,train,221043,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221044,voluntary_waiting-ff51ac062ea3,validation,221044,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221045,voluntary_waiting-d48bf2061e8e,test,221045,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221046,voluntary_waiting-dc419663e46b,validation,221046,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221047,voluntary_waiting-0d946c98e050,train,221047,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221048,voluntary_waiting-83856c078dc9,train,221048,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221049,voluntary_waiting-7f3908aad618,train,221049,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221050,voluntary_waiting-b9494a01d9ed,train,221050,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221051,voluntary_waiting-db7fc59407b7,train,221051,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221052,voluntary_waiting-25a1fb76e6bf,validation,221052,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221053,voluntary_waiting-be5dfafeab90,train,221053,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221054,voluntary_waiting-4cdea3ec4cfe,train,221054,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221055,voluntary_waiting-bcc97dab0d13,train,221055,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221056,voluntary_waiting-97767c25269b,train,221056,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221057,voluntary_waiting-c82836b64033,test,221057,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221058,voluntary_waiting-bf53667ffa21,train,221058,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221059,voluntary_waiting-dd4edbaeffd1,train,221059,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221060,voluntary_waiting-ff51ac062ea3,train,221060,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221061,voluntary_waiting-d48bf2061e8e,train,221061,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221062,voluntary_waiting-dc419663e46b,train,221062,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221063,voluntary_waiting-0d946c98e050,train,221063,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221064,voluntary_waiting-83856c078dc9,train,221064,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221065,voluntary_waiting-7f3908aad618,train,221065,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221066,voluntary_waiting-b9494a01d9ed,train,221066,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221067,voluntary_waiting-db7fc59407b7,validation,221067,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221068,voluntary_waiting-25a1fb76e6bf,train,221068,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221069,voluntary_waiting-be5dfafeab90,train,221069,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221070,voluntary_waiting-4cdea3ec4cfe,train,221070,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221071,voluntary_waiting-bcc97dab0d13,train,221071,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221072,voluntary_waiting-97767c25269b,train,221072,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221073,voluntary_waiting-c82836b64033,train,221073,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221074,voluntary_waiting-bf53667ffa21,train,221074,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221075,voluntary_waiting-dd4edbaeffd1,test,221075,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221076,voluntary_waiting-ff51ac062ea3,train,221076,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221077,voluntary_waiting-d48bf2061e8e,test,221077,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221078,voluntary_waiting-dc419663e46b,validation,221078,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221079,voluntary_waiting-0d946c98e050,test,221079,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221080,voluntary_waiting-83856c078dc9,train,221080,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221081,voluntary_waiting-7f3908aad618,train,221081,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221082,voluntary_waiting-b9494a01d9ed,test,221082,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221083,voluntary_waiting-db7fc59407b7,test,221083,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221084,voluntary_waiting-25a1fb76e6bf,validation,221084,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221085,voluntary_waiting-be5dfafeab90,test,221085,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221086,voluntary_waiting-4cdea3ec4cfe,test,221086,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221087,voluntary_waiting-bcc97dab0d13,test,221087,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221088,voluntary_waiting-97767c25269b,train,221088,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221089,voluntary_waiting-c82836b64033,train,221089,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221090,voluntary_waiting-bf53667ffa21,validation,221090,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221091,voluntary_waiting-dd4edbaeffd1,train,221091,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221092,voluntary_waiting-ff51ac062ea3,train,221092,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221093,voluntary_waiting-d48bf2061e8e,test,221093,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221094,voluntary_waiting-dc419663e46b,test,221094,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221095,voluntary_waiting-0d946c98e050,train,221095,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221096,voluntary_waiting-83856c078dc9,train,221096,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221097,voluntary_waiting-7f3908aad618,test,221097,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221098,voluntary_waiting-b9494a01d9ed,train,221098,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221099,voluntary_waiting-db7fc59407b7,train,221099,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221100,voluntary_waiting-25a1fb76e6bf,train,221100,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221101,voluntary_waiting-be5dfafeab90,train,221101,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221102,voluntary_waiting-4cdea3ec4cfe,validation,221102,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221103,voluntary_waiting-bcc97dab0d13,train,221103,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221104,voluntary_waiting-97767c25269b,train,221104,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221105,voluntary_waiting-c82836b64033,validation,221105,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221106,voluntary_waiting-bf53667ffa21,test,221106,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221107,voluntary_waiting-dd4edbaeffd1,validation,221107,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221108,voluntary_waiting-ff51ac062ea3,train,221108,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221109,voluntary_waiting-d48bf2061e8e,test,221109,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221110,voluntary_waiting-dc419663e46b,train,221110,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221111,voluntary_waiting-0d946c98e050,train,221111,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221112,voluntary_waiting-83856c078dc9,train,221112,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221113,voluntary_waiting-7f3908aad618,validation,221113,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221114,voluntary_waiting-b9494a01d9ed,train,221114,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221115,voluntary_waiting-db7fc59407b7,train,221115,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221116,voluntary_waiting-25a1fb76e6bf,train,221116,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221117,voluntary_waiting-be5dfafeab90,train,221117,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221118,voluntary_waiting-4cdea3ec4cfe,train,221118,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221119,voluntary_waiting-bcc97dab0d13,train,221119,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221120,voluntary_waiting-97767c25269b,train,221120,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221121,voluntary_waiting-c82836b64033,train,221121,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221122,voluntary_waiting-bf53667ffa21,train,221122,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221123,voluntary_waiting-dd4edbaeffd1,test,221123,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221124,voluntary_waiting-ff51ac062ea3,train,221124,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221125,voluntary_waiting-d48bf2061e8e,validation,221125,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221126,voluntary_waiting-dc419663e46b,test,221126,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221127,voluntary_waiting-0d946c98e050,validation,221127,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221128,voluntary_waiting-83856c078dc9,validation,221128,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221129,voluntary_waiting-7f3908aad618,test,221129,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221130,voluntary_waiting-b9494a01d9ed,train,221130,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221131,voluntary_waiting-db7fc59407b7,train,221131,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221132,voluntary_waiting-25a1fb76e6bf,train,221132,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221133,voluntary_waiting-be5dfafeab90,train,221133,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221134,voluntary_waiting-4cdea3ec4cfe,train,221134,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221135,voluntary_waiting-bcc97dab0d13,train,221135,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221136,voluntary_waiting-97767c25269b,train,221136,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221137,voluntary_waiting-c82836b64033,train,221137,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221138,voluntary_waiting-bf53667ffa21,train,221138,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221139,voluntary_waiting-dd4edbaeffd1,train,221139,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221140,voluntary_waiting-ff51ac062ea3,train,221140,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221141,voluntary_waiting-d48bf2061e8e,train,221141,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221142,voluntary_waiting-dc419663e46b,train,221142,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221143,voluntary_waiting-0d946c98e050,train,221143,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221144,voluntary_waiting-83856c078dc9,train,221144,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221145,voluntary_waiting-7f3908aad618,validation,221145,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221146,voluntary_waiting-b9494a01d9ed,train,221146,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221147,voluntary_waiting-db7fc59407b7,test,221147,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221148,voluntary_waiting-25a1fb76e6bf,test,221148,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221149,voluntary_waiting-be5dfafeab90,validation,221149,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221150,voluntary_waiting-4cdea3ec4cfe,train,221150,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221151,voluntary_waiting-bcc97dab0d13,train,221151,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221152,voluntary_waiting-97767c25269b,train,221152,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221153,voluntary_waiting-c82836b64033,test,221153,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221154,voluntary_waiting-bf53667ffa21,validation,221154,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221155,voluntary_waiting-dd4edbaeffd1,validation,221155,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221156,voluntary_waiting-ff51ac062ea3,train,221156,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221157,voluntary_waiting-d48bf2061e8e,train,221157,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221158,voluntary_waiting-dc419663e46b,train,221158,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221159,voluntary_waiting-0d946c98e050,train,221159,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221160,voluntary_waiting-83856c078dc9,train,221160,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221161,voluntary_waiting-7f3908aad618,train,221161,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221162,voluntary_waiting-b9494a01d9ed,train,221162,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221163,voluntary_waiting-db7fc59407b7,train,221163,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221164,voluntary_waiting-25a1fb76e6bf,train,221164,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221165,voluntary_waiting-be5dfafeab90,train,221165,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221166,voluntary_waiting-4cdea3ec4cfe,train,221166,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221167,voluntary_waiting-bcc97dab0d13,train,221167,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221168,voluntary_waiting-97767c25269b,validation,221168,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221169,voluntary_waiting-c82836b64033,train,221169,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221170,voluntary_waiting-bf53667ffa21,train,221170,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221171,voluntary_waiting-dd4edbaeffd1,train,221171,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221172,voluntary_waiting-ff51ac062ea3,test,221172,moderate_late,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221173,voluntary_waiting-d48bf2061e8e,train,221173,moderate_late,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221174,voluntary_waiting-dc419663e46b,train,221174,moderate_late,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221175,voluntary_waiting-0d946c98e050,train,221175,moderate_late,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221176,voluntary_waiting-83856c078dc9,train,221176,moderate_early,8.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221177,voluntary_waiting-7f3908aad618,train,221177,moderate_late,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221178,voluntary_waiting-b9494a01d9ed,validation,221178,moderate_late,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221179,voluntary_waiting-db7fc59407b7,train,221179,moderate_early,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221180,voluntary_waiting-25a1fb76e6bf,train,221180,moderate_early,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221181,voluntary_waiting-be5dfafeab90,test,221181,moderate_early,8.0,3.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221182,voluntary_waiting-4cdea3ec4cfe,test,221182,moderate_early,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221183,voluntary_waiting-bcc97dab0d13,train,221183,moderate_late,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221184,voluntary_waiting-97767c25269b,train,221184,moderate_late,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221185,voluntary_waiting-c82836b64033,train,221185,moderate_early,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221186,voluntary_waiting-bf53667ffa21,validation,221186,moderate_early,14.0,1.0,4.0,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0221187,voluntary_waiting-dd4edbaeffd1,train,221187,moderate_early,8.0,3.0,4.0,,,,,,,,,,,,,,,,,,
