pair_id,split,seed,action_seed,reward_magnitude,effort_cost,success_probability,outside_option,horizon
matched-goal-pair-0221075,train,311075,411075,12,1,0.35,0,8
matched-goal-pair-0221076,train,311076,411076,6,1,0.35,3,8
matched-goal-pair-0221077,train,311077,411077,6,1,0.7,3,8
matched-goal-pair-0221078,test,311078,411078,6,3,0.7,3,8
matched-goal-pair-0221079,train,311079,411079,12,3,0.7,0,8
matched-goal-pair-0221080,train,311080,411080,12,3,0.7,3,8
matched-goal-pair-0221081,validation,311081,411081,12,3,0.35,3,8
matched-goal-pair-0221082,train,311082,411082,6,3,0.35,0,8
matched-goal-pair-0221083,test,311083,411083,6,1,0.35,0,8
matched-goal-pair-0221084,validation,311084,411084,6,3,0.7,0,8
matched-goal-pair-0221085,train,311085,411085,12,1,0.7,0,8
matched-goal-pair-0221086,validation,311086,411086,12,1,0.7,3,8
matched-goal-pair-0221087,train,311087,411087,12,1,0.35,3,8
matched-goal-pair-0221088,train,311088,411088,6,3,0.35,3,8
matched-goal-pair-0221089,train,311089,411089,6,1,0.7,0,8
matched-goal-pair-0221090,train,311090,411090,12,3,0.35,0,8
matched-goal-pair-0221091,train,311091,411091,12,1,0.35,0,8
matched-goal-pair-0221092,train,311092,411092,6,1,0.35,3,8
matched-goal-pair-0221093,train,311093,411093,6,1,0.7,3,8
matched-goal-pair-0221094,test,311094,411094,6,3,0.7,3,8
matched-goal-pair-0221095,test,311095,411095,12,3,0.7,0,8
matched-goal-pair-0221096,train,311096,411096,12,3,0.7,3,8
matched-goal-pair-0221097,test,311097,411097,12,3,0.35,3,8
matched-goal-pair-0221098,train,311098,411098,6,3,0.35,0,8
matched-goal-pair-0221099,train,311099,411099,6,1,0.35,0,8
matched-goal-pair-0221100,train,311100,411100,6,3,0.7,0,8
matched-goal-pair-0221101,train,311101,411101,12,1,0.7,0,8
matched-goal-pair-0221102,test,311102,411102,12,1,0.7,3,8
matched-goal-pair-0221103,train,311103,411103,12,1,0.35,3,8
matched-goal-pair-0221104,validation,311104,411104,6,3,0.35,3,8
matched-goal-pair-0221105,train,311105,411105,6,1,0.7,0,8
matched-goal-pair-0221106,train,311106,411106,12,3,0.35,0,8
matched-goal-pair-0221107,validation,311107,411107,12,1,0.35,0,8
matched-goal-pair-0221108,train,311108,411108,6,1,0.35,3,8
matched-goal-pair-0221109,test,311109,411109,6,1,0.7,3,8
matched-goal-pair-0221110,train,311110,411110,6,3,0.7,3,8
matched-goal-pair-0221111,train,311111,411111,12,3,0.7,0,8
matched-goal-pair-0221112,train,311112,411112,12,3,0.7,3,8
matched-goal-pair-0221113,validation,311113,411113,12,3,0.35,3,8
matched-goal-pair-0221114,train,311114,411114,6,3,0.35,0,8
matched-goal-pair-0221115,train,311115,411115,6,1,0.35,0,8
matched-goal-pair-0221116,validation,311116,411116,6,3,0.7,0,8
matched-goal-pair-0221117,train,311117,411117,12,1,0.7,0,8
matched-goal-pair-0221118,train,311118,411118,12,1,0.7,3,8
matched-goal-pair-0221119,train,311119,411119,12,1,0.35,3,8
matched-goal-pair-0221120,train,311120,411120,6,3,0.35,3,8
matched-goal-pair-0221121,train,311121,411121,6,1,0.7,0,8
matched-goal-pair-0221122,test,311122,411122,12,3,0.35,0,8
matched-goal-pair-0221123,validation,311123,411123,12,1,0.35,0,8
matched-goal-pair-0221124,train,311124,411124,6,1,0.35,3,8
matched-goal-pair-0221125,train,311125,411125,6,1,0.7,3,8
matched-goal-pair-0221126,test,311126,411126,6,3,0.7,3,8
matched-goal-pair-0221127,train,311127,411127,12,3,0.7,0,8
matched-goal-pair-0221128,train,311128,411128,12,3,0.7,3,8
matched-goal-pair-0221129,validation,311129,411129,12,3,0.35,3,8
matched-goal-pair-0221130,train,311130,411130,6,3,0.35,0,8
matched-goal-pair-0221131,train,311131,411131,6,1,0.35,0,8
matched-goal-pair-0221132,train,311132,411132,6,3,0.7,0,8
matched-goal-pair-0221133,train,311133,411133,12,1,0.7,0,8
matched-goal-pair-0221134,train,311134,411134,12,1,0.7,3,8
matched-goal-pair-0221135,train,311135,411135,12,1,0.35,3,8
matched-goal-pair-0221136,train,311136,411136,6,3,0.35,3,8
matched-goal-pair-0221137,train,311137,411137,6,1,0.7,0,8
matched-goal-pair-0221138,validation,311138,411138,12,3,0.35,0,8
matched-goal-pair-0221139,train,311139,411139,12,1,0.35,0,8
matched-goal-pair-0221140,train,311140,411140,6,1,0.35,3,8
matched-goal-pair-0221141,validation,311141,411141,6,1,0.7,3,8
matched-goal-pair-0221142,train,311142,411142,6,3,0.7,3,8
matched-goal-pair-0221143,train,311143,411143,12,3,0.7,0,8
matched-goal-pair-0221144,train,311144,411144,12,3,0.7,3,8
matched-goal-pair-0221145,train,311145,411145,12,3,0.35,3,8
matched-goal-pair-0221146,train,311146,411146,6,3,0.35,0,8
matched-goal-pair-0221147,test,311147,411147,6,1,0.35,0,8
matched-goal-pair-0221148,validation,311148,411148,6,3,0.7,0,8
matched-goal-pair-0221149,train,311149,411149,12,1,0.7,0,8
matched-goal-pair-0221150,validation,311150,411150,12,1,0.7,3,8
matched-goal-pair-0221151,train,311151,411151,12,1,0.35,3,8
matched-goal-pair-0221152,train,311152,411152,6,3,0.35,3,8
matched-goal-pair-0221153,train,311153,411153,6,1,0.7,0,8
matched-goal-pair-0221154,train,311154,411154,12,3,0.35,0,8
matched-goal-pair-0221155,train,311155,411155,12,1,0.35,0,8
matched-goal-pair-0221156,train,311156,411156,6,1,0.35,3,8
matched-goal-pair-0221157,validation,311157,411157,6,1,0.7,3,8
matched-goal-pair-0221158,test,311158,411158,6,3,0.7,3,8
matched-goal-pair-0221159,validation,311159,411159,12,3,0.7,0,8
matched-goal-pair-0221160,validation,311160,411160,12,3,0.7,3,8
matched-goal-pair-0221161,validation,311161,411161,12,3,0.35,3,8
matched-goal-pair-0221162,train,311162,411162,6,3,0.35,0,8
matched-goal-pair-0221163,validation,311163,411163,6,1,0.35,0,8
matched-goal-pair-0221164,train,311164,411164,6,3,0.7,0,8
matched-goal-pair-0221165,test,311165,411165,12,1,0.7,0,8
matched-goal-pair-0221166,test,311166,411166,12,1,0.7,3,8
matched-goal-pair-0221167,train,311167,411167,12,1,0.35,3,8
matched-goal-pair-0221168,train,311168,411168,6,3,0.35,3,8
matched-goal-pair-0221169,train,311169,411169,6,1,0.7,0,8
matched-goal-pair-0221170,test,311170,411170,12,3,0.35,0,8
matched-goal-pair-0221171,train,311171,411171,12,1,0.35,0,8
matched-goal-pair-0221172,train,311172,411172,6,1,0.35,3,8
matched-goal-pair-0221173,train,311173,411173,6,1,0.7,3,8
matched-goal-pair-0221174,validation,311174,411174,6,3,0.7,3,8
matched-goal-pair-0221175,validation,311175,411175,12,3,0.7,0,8
matched-goal-pair-0221176,train,311176,411176,12,3,0.7,3,8
matched-goal-pair-0221177,train,311177,411177,12,3,0.35,3,8
matched-goal-pair-0221178,test,311178,411178,6,3,0.35,0,8
matched-goal-pair-0221179,test,311179,411179,6,1,0.35,0,8
matched-goal-pair-0221180,train,311180,411180,6,3,0.7,0,8
matched-goal-pair-0221181,train,311181,411181,12,1,0.7,0,8
matched-goal-pair-0221182,train,311182,411182,12,1,0.7,3,8
matched-goal-pair-0221183,validation,311183,411183,12,1,0.35,3,8
matched-goal-pair-0221184,validation,311184,411184,6,3,0.35,3,8
matched-goal-pair-0221185,train,311185,411185,6,1,0.7,0,8
matched-goal-pair-0221186,validation,311186,411186,12,3,0.35,0,8
matched-goal-pair-0221187,train,311187,411187,12,1,0.35,0,8
matched-goal-pair-0221188,train,311188,411188,6,1,0.35,3,8
matched-goal-pair-0221189,train,311189,411189,6,1,0.7,3,8
matched-goal-pair-0221190,train,311190,411190,6,3,0.7,3,8
matched-goal-pair-0221191,train,311191,411191,12,3,0.7,0,8
matched-goal-pair-0221192,validation,311192,411192,12,3,0.7,3,8
matched-goal-pair-0221193,test,311193,411193,12,3,0.35,3,8
matched-goal-pair-0221194,validation,311194,411194,6,3,0.35,0,8
matched-goal-pair-0221195,train,311195,411195,6,1,0.35,0,8
matched-goal-pair-0221196,train,311196,411196,6,3,0.7,0,8
matched-goal-pair-0221197,train,311197,411197,12,1,0.7,0,8
matched-goal-pair-0221198,train,311198,411198,12,1,0.7,3,8
matched-goal-pair-0221199,train,311199,411199,12,1,0.35,3,8
matched-goal-pair-0221200,train,311200,411200,6,3,0.35,3,8
matched-goal-pair-0221201,train,311201,411201,6,1,0.7,0,8
matched-goal-pair-0221202,test,311202,411202,12,3,0.35,0,8
matched-goal-pair-0221203,train,311203,411203,12,1,0.35,0,8
matched-goal-pair-0221204,test,311204,411204,6,1,0.35,3,8
matched-goal-pair-0221205,train,311205,411205,6,1,0.7,3,8
matched-goal-pair-0221206,train,311206,411206,6,3,0.7,3,8
matched-goal-pair-0221207,train,311207,411207,12,3,0.7,0,8
matched-goal-pair-0221208,test,311208,411208,12,3,0.7,3,8
matched-goal-pair-0221209,train,311209,411209,12,3,0.35,3,8
matched-goal-pair-0221210,train,311210,411210,6,3,0.35,0,8
matched-goal-pair-0221211,train,311211,411211,6,1,0.35,0,8
matched-goal-pair-0221212,train,311212,411212,6,3,0.7,0,8
matched-goal-pair-0221213,train,311213,411213,12,1,0.7,0,8
matched-goal-pair-0221214,train,311214,411214,12,1,0.7,3,8
matched-goal-pair-0221215,train,311215,411215,12,1,0.35,3,8
matched-goal-pair-0221216,test,311216,411216,6,3,0.35,3,8
matched-goal-pair-0221217,validation,311217,411217,6,1,0.7,0,8
matched-goal-pair-0221218,test,311218,411218,12,3,0.35,0,8
matched-goal-pair-0221219,test,311219,411219,12,1,0.35,0,8
matched-goal-pair-0221220,train,311220,411220,6,1,0.35,3,8
matched-goal-pair-0221221,train,311221,411221,6,1,0.7,3,8
matched-goal-pair-0221222,test,311222,411222,6,3,0.7,3,8
matched-goal-pair-0221223,train,311223,411223,12,3,0.7,0,8
matched-goal-pair-0221224,test,311224,411224,12,3,0.7,3,8
matched-goal-pair-0221225,train,311225,411225,12,3,0.35,3,8
matched-goal-pair-0221226,train,311226,411226,6,3,0.35,0,8
matched-goal-pair-0221227,test,311227,411227,6,1,0.35,0,8
matched-goal-pair-0221228,train,311228,411228,6,3,0.7,0,8
matched-goal-pair-0221229,train,311229,411229,12,1,0.7,0,8
matched-goal-pair-0221230,validation,311230,411230,12,1,0.7,3,8
matched-goal-pair-0221231,train,311231,411231,12,1,0.35,3,8
matched-goal-pair-0221232,train,311232,411232,6,3,0.35,3,8
matched-goal-pair-0221233,train,311233,411233,6,1,0.7,0,8
matched-goal-pair-0221234,train,311234,411234,12,3,0.35,0,8
matched-goal-pair-0221235,train,311235,411235,12,1,0.35,0,8
matched-goal-pair-0221236,train,311236,411236,6,1,0.35,3,8
matched-goal-pair-0221237,test,311237,411237,6,1,0.7,3,8
matched-goal-pair-0221238,train,311238,411238,6,3,0.7,3,8
matched-goal-pair-0221239,train,311239,411239,12,3,0.7,0,8
matched-goal-pair-0221240,train,311240,411240,12,3,0.7,3,8
matched-goal-pair-0221241,train,311241,411241,12,3,0.35,3,8
matched-goal-pair-0221242,train,311242,411242,6,3,0.35,0,8
matched-goal-pair-0221243,train,311243,411243,6,1,0.35,0,8
matched-goal-pair-0221244,train,311244,411244,6,3,0.7,0,8
matched-goal-pair-0221245,validation,311245,411245,12,1,0.7,0,8
matched-goal-pair-0221246,test,311246,411246,12,1,0.7,3,8
matched-goal-pair-0221247,train,311247,411247,12,1,0.35,3,8
matched-goal-pair-0221248,train,311248,411248,6,3,0.35,3,8
matched-goal-pair-0221249,train,311249,411249,6,1,0.7,0,8
matched-goal-pair-0221250,train,311250,411250,12,3,0.35,0,8
matched-goal-pair-0221251,train,311251,411251,12,1,0.35,0,8
matched-goal-pair-0221252,train,311252,411252,6,1,0.35,3,8
matched-goal-pair-0221253,train,311253,411253,6,1,0.7,3,8
matched-goal-pair-0221254,train,311254,411254,6,3,0.7,3,8
matched-goal-pair-0221255,test,311255,411255,12,3,0.7,0,8
matched-goal-pair-0221256,train,311256,411256,12,3,0.7,3,8
matched-goal-pair-0221257,train,311257,411257,12,3,0.35,3,8
matched-goal-pair-0221258,train,311258,411258,6,3,0.35,0,8
matched-goal-pair-0221259,train,311259,411259,6,1,0.35,0,8
matched-goal-pair-0221260,validation,311260,411260,6,3,0.7,0,8
matched-goal-pair-0221261,train,311261,411261,12,1,0.7,0,8
matched-goal-pair-0221262,train,311262,411262,12,1,0.7,3,8
matched-goal-pair-0221263,train,311263,411263,12,1,0.35,3,8
matched-goal-pair-0221264,train,311264,411264,6,3,0.35,3,8
matched-goal-pair-0221265,train,311265,411265,6,1,0.7,0,8
matched-goal-pair-0221266,test,311266,411266,12,3,0.35,0,8
matched-goal-pair-0221267,train,311267,411267,12,1,0.35,0,8
matched-goal-pair-0221268,train,311268,411268,6,1,0.35,3,8
matched-goal-pair-0221269,test,311269,411269,6,1,0.7,3,8
matched-goal-pair-0221270,train,311270,411270,6,3,0.7,3,8
matched-goal-pair-0221271,train,311271,411271,12,3,0.7,0,8
matched-goal-pair-0221272,validation,311272,411272,12,3,0.7,3,8
matched-goal-pair-0221273,validation,311273,411273,12,3,0.35,3,8
matched-goal-pair-0221274,train,311274,411274,6,3,0.35,0,8
matched-goal-pair-0221275,validation,311275,411275,6,1,0.35,0,8
matched-goal-pair-0221276,train,311276,411276,6,3,0.7,0,8
matched-goal-pair-0221277,train,311277,411277,12,1,0.7,0,8
matched-goal-pair-0221278,train,311278,411278,12,1,0.7,3,8
matched-goal-pair-0221279,test,311279,411279,12,1,0.35,3,8
matched-goal-pair-0221280,train,311280,411280,6,3,0.35,3,8
matched-goal-pair-0221281,train,311281,411281,6,1,0.7,0,8
