task,pair_id,condition_id,split,seed,timing_environment,reward_magnitude,opportunity_cost,quit_payoff,ratio_schedule,effort_cost,outside_option,prior_investment,remaining_steps,step_cost,success_probability,evidence_accuracy,sample_cost,error_penalty,prior_a,true_state,max_samples,reinforcement_schedule,acquisition_trials,partial_probability,extinction_try_cost,expected_reward_per_trial,rounds,high_reward_bonus,high_effort_cost,high_success_probability
voluntary_waiting,voluntary_waiting-pair-0111043,voluntary_waiting-997de758368f,train,111043,short_wait_optimal,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111044,voluntary_waiting-8492b4641998,train,111044,short_wait_optimal,10.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111045,voluntary_waiting-5c5bc3ce1aef,test,111045,long_wait_optimal,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111046,voluntary_waiting-3023c277e3d0,validation,111046,long_wait_optimal,6.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111047,voluntary_waiting-e08723b52465,test,111047,long_wait_optimal,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111048,voluntary_waiting-78044111e3e7,train,111048,long_wait_optimal,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111049,voluntary_waiting-7d0bf16021a3,train,111049,short_wait_optimal,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111050,voluntary_waiting-1c1c9ec8a195,train,111050,long_wait_optimal,10.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111051,voluntary_waiting-b5219365f34d,train,111051,short_wait_optimal,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111052,voluntary_waiting-814c244220af,train,111052,short_wait_optimal,6.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111053,voluntary_waiting-1c54e11c5362,train,111053,short_wait_optimal,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111054,voluntary_waiting-2b677978cb9f,test,111054,long_wait_optimal,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111055,voluntary_waiting-ddc220b58711,train,111055,short_wait_optimal,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111056,voluntary_waiting-3ad8ced7b134,test,111056,long_wait_optimal,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
voluntary_waiting,voluntary_waiting-pair-0111057,voluntary_waiting-490397fa3057,train,111057,short_wait_optimal,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121026,progressive_ratio-42e5cb992883,train,121026,,6.0,,,steep,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121027,progressive_ratio-3c7b4325406c,train,121027,,10.0,,,shallow,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121028,progressive_ratio-8190a28661d3,test,121028,,10.0,,,shallow,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121029,progressive_ratio-2db630ba80b4,test,121029,,6.0,,,shallow,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121030,progressive_ratio-192f1ea45016,train,121030,,6.0,,,shallow,2.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121031,progressive_ratio-63aa02ed4b94,train,121031,,10.0,,,shallow,2.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121032,progressive_ratio-4a36c21dc1ec,validation,121032,,10.0,,,steep,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121033,progressive_ratio-20f838ace91f,train,121033,,6.0,,,steep,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121034,progressive_ratio-9b035191cdfb,train,121034,,6.0,,,shallow,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121035,progressive_ratio-5c71ca8835de,train,121035,,10.0,,,steep,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121036,progressive_ratio-431ec8c8a9ad,train,121036,,6.0,,,shallow,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121037,progressive_ratio-4cca47509b63,train,121037,,10.0,,,shallow,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121038,progressive_ratio-4b152c1c3245,train,121038,,10.0,,,steep,2.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121039,progressive_ratio-76a0a2acf9e1,train,121039,,10.0,,,steep,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121040,progressive_ratio-e7abf9ada5ee,train,121040,,6.0,,,steep,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121041,progressive_ratio-0607de9c3e1a,train,121041,,6.0,,,steep,2.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121042,progressive_ratio-42e5cb992883,test,121042,,6.0,,,steep,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121043,progressive_ratio-3c7b4325406c,validation,121043,,10.0,,,shallow,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121044,progressive_ratio-8190a28661d3,train,121044,,10.0,,,shallow,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121045,progressive_ratio-2db630ba80b4,test,121045,,6.0,,,shallow,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121046,progressive_ratio-192f1ea45016,train,121046,,6.0,,,shallow,2.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121047,progressive_ratio-63aa02ed4b94,validation,121047,,10.0,,,shallow,2.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121048,progressive_ratio-4a36c21dc1ec,train,121048,,10.0,,,steep,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121049,progressive_ratio-20f838ace91f,train,121049,,6.0,,,steep,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121050,progressive_ratio-9b035191cdfb,test,121050,,6.0,,,shallow,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121051,progressive_ratio-5c71ca8835de,validation,121051,,10.0,,,steep,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121052,progressive_ratio-431ec8c8a9ad,train,121052,,6.0,,,shallow,0.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121053,progressive_ratio-4cca47509b63,train,121053,,10.0,,,shallow,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121054,progressive_ratio-4b152c1c3245,train,121054,,10.0,,,steep,2.0,0.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121055,progressive_ratio-76a0a2acf9e1,train,121055,,10.0,,,steep,0.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121056,progressive_ratio-e7abf9ada5ee,train,121056,,6.0,,,steep,2.0,2.0,,,,,,,,,,,,,,,,,,,
progressive_ratio,progressive_ratio-pair-0121057,progressive_ratio-0607de9c3e1a,test,121057,,6.0,,,steep,2.0,0.0,,,,,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131026,sunk_cost-f420e090ab9b,validation,131026,,8.0,,,,,0.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131027,sunk_cost-2bdae03cbcb8,train,131027,,8.0,,,,,3.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131028,sunk_cost-b2d4925610b6,test,131028,,8.0,,,,,3.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131029,sunk_cost-bff58dbcc33b,train,131029,,14.0,,,,,3.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131030,sunk_cost-20a1042a0d89,train,131030,,8.0,,,,,0.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131031,sunk_cost-3b0ae9398978,validation,131031,,14.0,,,,,0.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131032,sunk_cost-5680db438a72,train,131032,,14.0,,,,,3.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131033,sunk_cost-203facd1f5a6,test,131033,,8.0,,,,,3.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131034,sunk_cost-4bb672cbb1b9,test,131034,,14.0,,,,,3.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131035,sunk_cost-b31f05295a0f,train,131035,,14.0,,,,,0.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131036,sunk_cost-bc0dc7a339f6,train,131036,,14.0,,,,,3.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131037,sunk_cost-de984e99c7c6,train,131037,,14.0,,,,,0.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131038,sunk_cost-a3fc7d143548,train,131038,,8.0,,,,,0.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131039,sunk_cost-71fa8cce1ba8,test,131039,,8.0,,,,,3.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131040,sunk_cost-17b031a165ae,train,131040,,8.0,,,,,0.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131041,sunk_cost-729c378cc5a1,train,131041,,14.0,,,,,0.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131042,sunk_cost-f420e090ab9b,train,131042,,8.0,,,,,0.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131043,sunk_cost-2bdae03cbcb8,test,131043,,8.0,,,,,3.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131044,sunk_cost-b2d4925610b6,train,131044,,8.0,,,,,3.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131045,sunk_cost-bff58dbcc33b,train,131045,,14.0,,,,,3.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131046,sunk_cost-20a1042a0d89,train,131046,,8.0,,,,,0.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131047,sunk_cost-3b0ae9398978,train,131047,,14.0,,,,,0.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131048,sunk_cost-5680db438a72,train,131048,,14.0,,,,,3.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131049,sunk_cost-203facd1f5a6,train,131049,,8.0,,,,,3.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131050,sunk_cost-4bb672cbb1b9,train,131050,,14.0,,,,,3.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131051,sunk_cost-b31f05295a0f,train,131051,,14.0,,,,,0.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131052,sunk_cost-bc0dc7a339f6,train,131052,,14.0,,,,,3.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131053,sunk_cost-de984e99c7c6,train,131053,,14.0,,,,,0.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131054,sunk_cost-a3fc7d143548,train,131054,,8.0,,,,,0.0,1.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131055,sunk_cost-71fa8cce1ba8,test,131055,,8.0,,,,,3.0,8.0,2.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131056,sunk_cost-17b031a165ae,validation,131056,,8.0,,,,,0.0,1.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
sunk_cost,sunk_cost-pair-0131057,sunk_cost-729c378cc5a1,validation,131057,,14.0,,,,,0.0,8.0,4.0,1.0,0.75,,,,,,,,,,,,,,,
information_sampling,information_sampling-pair-0141026,information_sampling-f1c43be05e06,train,141026,,,,,,,,,,,,0.8,0.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141027,information_sampling-99bd6f5e7aaf,train,141027,,,,,,,,,,,,0.65,2.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141028,information_sampling-348e17950a0a,train,141028,,,,,,,,,,,,0.65,2.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141029,information_sampling-4a2b2c98edd2,train,141029,,,,,,,,,,,,0.8,2.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141030,information_sampling-fd4c9fb4cd3e,train,141030,,,,,,,,,,,,0.8,2.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141031,information_sampling-5771cd647137,test,141031,,,,,,,,,,,,0.65,2.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141032,information_sampling-e08084b0763e,test,141032,,,,,,,,,,,,0.65,0.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141033,information_sampling-cdab57910ab2,train,141033,,,,,,,,,,,,0.65,0.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141034,information_sampling-723aedc266f6,train,141034,,,,,,,,,,,,0.8,2.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141035,information_sampling-55e61107c629,train,141035,,,,,,,,,,,,0.65,2.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141036,information_sampling-1a302d13c8a3,train,141036,,,,,,,,,,,,0.65,2.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141037,information_sampling-687f6635fbda,train,141037,,,,,,,,,,,,0.8,0.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141038,information_sampling-4c5d70c82c02,validation,141038,,,,,,,,,,,,0.65,0.0,4.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141039,information_sampling-606e387867fb,validation,141039,,,,,,,,,,,,0.8,2.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141040,information_sampling-480eca33060e,test,141040,,,,,,,,,,,,0.8,2.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141041,information_sampling-2bd48eeac327,test,141041,,,,,,,,,,,,0.8,0.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141042,information_sampling-b54400f16c2b,train,141042,,,,,,,,,,,,0.8,0.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141043,information_sampling-ee592a1751a2,train,141043,,,,,,,,,,,,0.8,2.0,4.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141044,information_sampling-45dc6c4e1ccc,test,141044,,,,,,,,,,,,0.65,0.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141045,information_sampling-3c2fb12fe195,train,141045,,,,,,,,,,,,0.8,2.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141046,information_sampling-6997ceadcb03,train,141046,,,,,,,,,,,,0.65,2.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141047,information_sampling-d74f09de09af,validation,141047,,,,,,,,,,,,0.65,0.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141048,information_sampling-38d767b916ff,train,141048,,,,,,,,,,,,0.65,2.0,4.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141049,information_sampling-9a3bae13d5d8,train,141049,,,,,,,,,,,,0.8,0.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141050,information_sampling-9aa0354599d3,train,141050,,,,,,,,,,,,0.65,0.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141051,information_sampling-5937f5adf303,train,141051,,,,,,,,,,,,0.65,0.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141052,information_sampling-2799d74ff4bd,validation,141052,,,,,,,,,,,,0.8,0.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141053,information_sampling-0cd203779b54,train,141053,,,,,,,,,,,,0.65,0.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141054,information_sampling-cd837bed59b0,train,141054,,,,,,,,,,,,0.8,0.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141055,information_sampling-e77b258414e1,train,141055,,,,,,,,,,,,0.8,2.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141056,information_sampling-b173e3e4948a,train,141056,,,,,,,,,,,,0.65,2.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141057,information_sampling-78baefe9a004,train,141057,,,,,,,,,,,,0.8,0.0,4.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141058,information_sampling-f1c43be05e06,train,141058,,,,,,,,,,,,0.8,0.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141059,information_sampling-99bd6f5e7aaf,test,141059,,,,,,,,,,,,0.65,2.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141060,information_sampling-348e17950a0a,train,141060,,,,,,,,,,,,0.65,2.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141061,information_sampling-4a2b2c98edd2,train,141061,,,,,,,,,,,,0.8,2.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141062,information_sampling-fd4c9fb4cd3e,train,141062,,,,,,,,,,,,0.8,2.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141063,information_sampling-5771cd647137,train,141063,,,,,,,,,,,,0.65,2.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141064,information_sampling-e08084b0763e,test,141064,,,,,,,,,,,,0.65,0.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141065,information_sampling-cdab57910ab2,train,141065,,,,,,,,,,,,0.65,0.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141066,information_sampling-723aedc266f6,train,141066,,,,,,,,,,,,0.8,2.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141067,information_sampling-55e61107c629,test,141067,,,,,,,,,,,,0.65,2.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141068,information_sampling-1a302d13c8a3,train,141068,,,,,,,,,,,,0.65,2.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141069,information_sampling-687f6635fbda,test,141069,,,,,,,,,,,,0.8,0.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141070,information_sampling-4c5d70c82c02,train,141070,,,,,,,,,,,,0.65,0.0,4.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141071,information_sampling-606e387867fb,test,141071,,,,,,,,,,,,0.8,2.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141072,information_sampling-480eca33060e,validation,141072,,,,,,,,,,,,0.8,2.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141073,information_sampling-2bd48eeac327,validation,141073,,,,,,,,,,,,0.8,0.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141074,information_sampling-b54400f16c2b,train,141074,,,,,,,,,,,,0.8,0.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141075,information_sampling-ee592a1751a2,train,141075,,,,,,,,,,,,0.8,2.0,4.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141076,information_sampling-45dc6c4e1ccc,train,141076,,,,,,,,,,,,0.65,0.0,4.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141077,information_sampling-3c2fb12fe195,train,141077,,,,,,,,,,,,0.8,2.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141078,information_sampling-6997ceadcb03,validation,141078,,,,,,,,,,,,0.65,2.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141079,information_sampling-d74f09de09af,validation,141079,,,,,,,,,,,,0.65,0.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141080,information_sampling-38d767b916ff,train,141080,,,,,,,,,,,,0.65,2.0,4.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141081,information_sampling-9a3bae13d5d8,train,141081,,,,,,,,,,,,0.8,0.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141082,information_sampling-9aa0354599d3,train,141082,,,,,,,,,,,,0.65,0.0,10.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141083,information_sampling-5937f5adf303,test,141083,,,,,,,,,,,,0.65,0.0,10.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141084,information_sampling-2799d74ff4bd,train,141084,,,,,,,,,,,,0.8,0.0,4.0,0.5,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141085,information_sampling-0cd203779b54,train,141085,,,,,,,,,,,,0.65,0.0,10.0,0.7,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141086,information_sampling-cd837bed59b0,train,141086,,,,,,,,,,,,0.8,0.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141087,information_sampling-e77b258414e1,validation,141087,,,,,,,,,,,,0.8,2.0,10.0,0.7,B,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141088,information_sampling-b173e3e4948a,train,141088,,,,,,,,,,,,0.65,2.0,4.0,0.5,A,8.0,,,,,,,,,
information_sampling,information_sampling-pair-0141089,information_sampling-78baefe9a004,train,141089,,,,,,,,,,,,0.8,0.0,4.0,0.7,A,8.0,,,,,,,,,
partial_reinforcement,partial_reinforcement-pair-0151026,partial_reinforcement-d868b7f5974a,test,151026,,,,,,,,,,,,,,,,,,partial,12.0,0.5,0.0,2.0,,,,
