task,history_lag,validation_log_loss,log_loss,selected_penalty,feature_names,value_coefficients,validation_selected
independent_effort_control,1,0.666018997025394,0.70214485280352,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;outcome_lag_1;outcome_lag_1__present,"[-0.04456809583456626, 1.0543826020795726, 0.08225544478123184, -0.5943282487400592, 0.644863375493456]",False
independent_effort_control,2,0.641741305011376,0.7486020417942792,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present,"[0.031817867356058495, 0.9615950454705199, 0.010736029995662087, -0.6368612437194082, -0.5682860967741968, 0.5779458904991549, -0.2174564382339682]",True
independent_effort_control,3,0.6492592757392,0.7551956382159117,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present,"[0.05031339096156663, 0.9162720029764586, 0.017934431621246343, -0.679696779917432, -0.6177137844891321, 0.010369407300840475, 0.556184803144285, -0.192259710257362, 0.2772846931980213]",False
independent_effort_control,5,0.702908933923782,0.7686586053780928,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present,"[0.014342435959385186, 0.9287200699280752, 0.016096948244739968, -0.6988194220888241, -0.5954402659872199, 0.04559151589099888, 0.2733320422107718, 0.5353342223374649, -0.16782856749955669, 0.21639109878590315, -0.4214148018821788]",False
independent_effort_control,8,0.702908933923794,0.7686586053780976,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;action_lag_8;action_lag_8__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present;outcome_lag_8;outcome_lag_8__present,"[0.014342435959388077, 0.9287200699280509, 0.016096948244723592, -0.6988194220888209, -0.5954402659872023, 0.04559151589098328, 0.2733320422108016, 0.0, 0.5353342223374334, -0.1678285674995131, 0.21639109878593846, -0.42141480188224145, 0.0]",False
information_sampling,1,0.549423815914357,0.8250760863435194,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;outcome_lag_1;outcome_lag_1__present,"[0.11569522601353749, 0.11569522601353749, 0.0, -0.49252095035731525, -0.028805448359967335]",False
information_sampling,2,0.531161209172007,0.8016361252080237,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present,"[0.1894397236951721, 0.1894397236951721, 0.0, -0.41849246730619444, -0.32190759860508106, -0.025277822869162532, -0.08372069078134697]",False
information_sampling,3,0.525079048509699,0.8241170367683734,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present,"[0.2398866076661823, 0.2398866076661823, 0.0, -0.44443776147244, -0.2830845363858121, -0.19166115631560557, -0.022530616486595514, -0.08574110383999788, 0.09715941079104486]",False
information_sampling,5,0.523900621944777,0.8226257102726127,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present,"[0.30247678125903205, 0.30247678125903205, 0.0, -0.4845438655981063, -0.32370126759042395, -0.2266670241258974, -0.14684124128437487, -0.01842526780977677, -0.08154291605328104, 0.10035646115436091, 0.06389285390520195]",False
information_sampling,8,0.523900621943778,0.8226257102726283,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;action_lag_8;action_lag_8__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present;outcome_lag_8;outcome_lag_8__present,"[0.3024767812589714, 0.3024767812589714, 0.0, -0.4845438655982061, -0.3237012675905436, -0.22666702412573111, -0.14684124128407627, 0.0, -0.018425267809175992, -0.0815429160534971, 0.10035646115457492, 0.06389285390494918, 0.0]",True
partial_reinforcement,1,0.287265476482417,0.6230246196799424,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;outcome_lag_1;outcome_lag_1__present,"[-0.014002200726626718, 0.580794655481491, -0.19214071161242102, -8.956434846741443e-06, -1.4126296676568477]",True
partial_reinforcement,2,0.290840943726949,0.6056578255579013,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present,"[-0.016128934166960783, 0.6178818903952074, -0.19017608280004303, 4.567940572280745e-06, 4.567940572280745e-06, -1.3720803034885427, 0.3051899173443421]",False
partial_reinforcement,3,0.321656008974071,0.5538223087046322,0.1,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present,"[0.023860108337623788, 0.36372999735300965, -0.2522735195170656, -1.0139235486688223e-06, -1.0139235486688223e-06, -1.0139235486688223e-06, -0.3105397389759079, 0.06345937107862877, -0.34809405488333517]",False
partial_reinforcement,5,0.321494462642625,0.5560212263321533,0.1,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present,"[0.024259981837683693, 0.3592935085199623, -0.252087282003919, -2.5864634064392367e-07, -2.5864634064392367e-07, -2.5864634064392367e-07, -2.5864634064392367e-07, -0.3107735657341568, 0.06226958343991853, -0.35125186850358187, 0.050484014495404655]",False
partial_reinforcement,8,0.323810826795124,0.5584916010745434,0.1,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;action_lag_8;action_lag_8__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present;outcome_lag_8;outcome_lag_8__present,"[0.023376458166050596, 0.36335052413783986, -0.2521806052769198, 9.490081766183912e-07, 9.490081766183912e-07, 9.490081766183912e-07, 9.490081766183912e-07, 9.490081766183912e-07, -0.3102090357166156, 0.05519378370693485, -0.3527424168779075, 0.051747881776739335, 0.09965077088955586]",False
solvability,1,0.475121433853937,0.5532083503495405,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;outcome_lag_1;outcome_lag_1__present,"[0.06050674086138376, 0.8742321190059511, -0.08257764332454282, -0.9726729146911669, -1.5416532332384636]",False
solvability,2,0.440503398496224,0.5163561934453822,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present,"[0.43562502455989, 0.9530000066533219, -0.08681565268053351, -0.8726022694065536, -0.630876153663816, -1.522218876937945, -0.06579310772797306]",True
solvability,3,0.443024427642943,0.5150815726950536,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present,"[0.4073652676850922, 0.9454696689175506, -0.09308691928311995, -0.8520715752121119, -0.6505611179413628, 0.04461448226896142, -1.5163072065550733, -0.05129235902762527, 0.178234525630757]",False
solvability,5,0.441485914865775,0.510706504691405,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present,"[0.16911132641191884, 1.0083132327211102, -0.12201976265355538, -0.6784709819394651, -0.571840472193467, 0.09540096246820257, 0.3642770396661605, -1.486124448961167, -0.046067417331616414, 0.21522919910752003, -0.00915008320422736]",False
solvability,8,0.44148591486577,0.5107065046914367,0.01,continue_streak;continue_streak__present;failure_streak;failure_streak__present;success_streak;success_streak__present;action_lag_1;action_lag_1__present;action_lag_2;action_lag_2__present;action_lag_3;action_lag_3__present;action_lag_5;action_lag_5__present;action_lag_8;action_lag_8__present;outcome_lag_1;outcome_lag_1__present;outcome_lag_2;outcome_lag_2__present;outcome_lag_3;outcome_lag_3__present;outcome_lag_5;outcome_lag_5__present;outcome_lag_8;outcome_lag_8__present,"[0.16911132641223536, 1.0083132327204196, -0.12201976265404031, -0.6784709819389932, -0.57184047219363, 0.09540096246805861, 0.36427703966583, 0.0, -1.4861244489603196, -0.04606741733054718, 0.21522919910637428, -0.00915008320290654, 0.0]",False
